case,iter,reward
test_180_120_010_0.csv,1,20
test_180_120_010_0.csv,2,60
test_180_120_010_0.csv,3,60
test_180_120_010_0.csv,4,90
test_180_120_010_0.csv,5,150
test_180_120_010_0.csv,6,210
test_180_120_010_0.csv,7,220
test_180_120_010_0.csv,8,250
test_180_120_010_0.csv,9,290
test_180_120_010_0.csv,10,280
test_180_120_010_0.csv,11,330
test_180_120_010_0.csv,12,290
test_180_120_010_0.csv,13,300
test_180_120_010_0.csv,14,330
test_180_120_010_0.csv,15,420
test_180_120_010_0.csv,16,430
test_180_120_010_0.csv,17,480
test_180_120_010_0.csv,18,490
test_180_120_010_0.csv,19,510
test_180_120_010_0.csv,20,550
test_180_120_010_0.csv,21,530
test_180_120_010_0.csv,22,610
test_180_120_010_0.csv,23,550
test_180_120_010_0.csv,24,570
test_180_120_010_0.csv,25,630
test_180_120_010_0.csv,26,680
test_180_120_010_0.csv,27,650
test_180_120_010_0.csv,28,720
test_180_120_010_0.csv,29,700
test_180_120_010_0.csv,30,710
test_180_120_010_0.csv,31,710
test_180_120_010_0.csv,32,660
test_180_120_010_0.csv,33,770
test_180_120_010_0.csv,34,650
test_180_120_010_0.csv,35,660
test_180_120_010_0.csv,36,660
test_180_120_010_0.csv,37,750
test_180_120_010_0.csv,38,730
test_180_120_010_0.csv,39,780
test_180_120_010_0.csv,40,760
test_180_120_010_0.csv,41,770
test_180_120_010_0.csv,42,770
test_180_120_010_0.csv,43,720
test_180_120_010_0.csv,44,850
test_180_120_010_0.csv,45,730
test_180_120_010_0.csv,46,730
test_180_120_010_0.csv,47,700
test_180_120_010_0.csv,48,830
test_180_120_010_0.csv,49,820
test_180_120_010_0.csv,50,880
test_180_120_010_0.csv,51,830
test_180_120_010_0.csv,52,850
test_180_120_010_0.csv,53,870
test_180_120_010_0.csv,54,830
test_180_120_010_0.csv,55,960
test_180_120_010_0.csv,56,820
test_180_120_010_0.csv,57,820
test_180_120_010_0.csv,58,810
test_180_120_010_0.csv,59,940
test_180_120_010_0.csv,60,930
test_180_120_010_0.csv,61,970
test_180_120_010_0.csv,62,930
test_180_120_010_0.csv,63,930
test_180_120_010_0.csv,64,930
test_180_120_010_0.csv,65,900
test_180_120_010_0.csv,66,1020
test_180_120_010_0.csv,67,880
test_180_120_010_0.csv,68,880
test_180_120_010_0.csv,69,860
test_180_120_010_0.csv,70,980
test_180_120_010_0.csv,71,970
test_180_120_010_0.csv,72,1010
test_180_120_010_0.csv,73,960
test_180_120_010_0.csv,74,980
test_180_120_010_0.csv,75,960
test_180_120_010_0.csv,76,940
test_180_120_010_0.csv,77,1070
test_180_120_010_0.csv,78,930
test_180_120_010_0.csv,79,910
